Name	Structure Path	Number of Atoms	Total Charge
Bk_Bk1C14H28N5O2P1	/Users/marcelmueller/source/acqm/Bk/Bk_Bk1C14H28N5O2P1/coord.xyz	51	3.0
Bk_Bk1C13H15O5	/Users/marcelmueller/source/acqm/Bk/Bk_Bk1C13H15O5/coord.xyz	34	0.0
Bk_BkBrAs	/Users/marcelmueller/source/acqm/Bk/Bk_BkBrAs/coord.xyz	3	0.0
Bk_Bk1C1F1H5N4O5	/Users/marcelmueller/source/acqm/Bk/Bk_Bk1C1F1H5N4O5/coord.xyz	17	-1.0
Bk_BkBr5	/Users/marcelmueller/source/acqm/Bk/Bk_BkBr5/coord.xyz	6	0.0
Bk_BkBr2	/Users/marcelmueller/source/acqm/Bk/Bk_BkBr2/coord.xyz	3	0.0
Bk_BkH1Li2	/Users/marcelmueller/source/acqm/Bk/Bk_BkH1Li2/coord.xyz	4	0.0
Bk_Bk1C1F1H5O5S1	/Users/marcelmueller/source/acqm/Bk/Bk_Bk1C1F1H5O5S1/coord.xyz	14	-1.0
Bk_Bk1C15H17N3O6S1	/Users/marcelmueller/source/acqm/Bk/Bk_Bk1C15H17N3O6S1/coord.xyz	43	1.0
Bk_BkAsO	/Users/marcelmueller/source/acqm/Bk/Bk_BkAsO/coord.xyz	3	-2.0
Bk_Bk1C4H7N5O2	/Users/marcelmueller/source/acqm/Bk/Bk_Bk1C4H7N5O2/coord.xyz	19	1.0
Bk_Bk1C4H13N2O5P1S1	/Users/marcelmueller/source/acqm/Bk/Bk_Bk1C4H13N2O5P1S1/coord.xyz	27	-1.0
Bk_BkNaSbTe	/Users/marcelmueller/source/acqm/Bk/Bk_BkNaSbTe/coord.xyz	4	0.0
Bk_Bk1Br1C7H11N2O7S1	/Users/marcelmueller/source/acqm/Bk/Bk_Bk1Br1C7H11N2O7S1/coord.xyz	30	-1.0
Bk_BkS1	/Users/marcelmueller/source/acqm/Bk/Bk_BkS1/coord.xyz	2	0.0
Bk_Bk1C12H26N2O6P2	/Users/marcelmueller/source/acqm/Bk/Bk_Bk1C12H26N2O6P2/coord.xyz	49	3.0
Bk_Bk1C9H22N6O5S1	/Users/marcelmueller/source/acqm/Bk/Bk_Bk1C9H22N6O5S1/coord.xyz	44	1.0
Bk_Bk1C2F1H2N1O2S1	/Users/marcelmueller/source/acqm/Bk/Bk_Bk1C2F1H2N1O2S1/coord.xyz	10	1.0
Bk_Bk1Br1C12H11N5S2	/Users/marcelmueller/source/acqm/Bk/Bk_Bk1Br1C12H11N5S2/coord.xyz	32	0.0
Bk_Bk1C9Cl1H17N6S1	/Users/marcelmueller/source/acqm/Bk/Bk_Bk1C9Cl1H17N6S1/coord.xyz	35	1.0
Bk_Bk1C13F3H12O5P1	/Users/marcelmueller/source/acqm/Bk/Bk_Bk1C13F3H12O5P1/coord.xyz	35	1.0
Bk_BkAsN	/Users/marcelmueller/source/acqm/Bk/Bk_BkAsN/coord.xyz	3	0.0
Bk_Bk1C8Cl1H6N1O6	/Users/marcelmueller/source/acqm/Bk/Bk_Bk1C8Cl1H6N1O6/coord.xyz	23	1.0
Bk_BkSr	/Users/marcelmueller/source/acqm/Bk/Bk_BkSr/coord.xyz	2	1.0
Bk_BkH0Li3	/Users/marcelmueller/source/acqm/Bk/Bk_BkH0Li3/coord.xyz	4	0.0
Bk_BkNPSbBrLiF	/Users/marcelmueller/source/acqm/Bk/Bk_BkNPSbBrLiF/coord.xyz	7	1.0
Bk_BkHSiAsF	/Users/marcelmueller/source/acqm/Bk/Bk_BkHSiAsF/coord.xyz	5	-1.0
